Online shop URL,Label,Domain length,Top domain length,Presence of prefix 'www' ,Number  of digits,Number  of letters,Number  of dots (.),Number  of hyphens (-),Presence of credit card payment,Presence of money back payment,Presence of cash on delivery payment,Presence of crypto currency,Presence of free contact emails,Presence of logo URL,SSL certificate issuer,SSL certificate expire date,Issuer organization,SSL certificate issuer organization list item,Indication of young domain ,Domain registration date,Presence of TrustPilot reviews,TrustPilot score,Presence of SiteJabber reviews,Presence in the standard Tranco list,Tranco List rank
https://www.allaccessorybest.com,fraudulent,24,3,1,0,27,2,0,1,1,0,0,0,0,GTS CA 1P5,Oct 11 03:53:36 2023 GMT,Google Trust Services LLC,9,1,2023-05-15 03:35,0,,0,0,-1
https://www.b-watches.shop,fraudulent,18,4,1,0,20,2,1,0,1,0,0,1,0,Cloudflare Inc ECC CA-3,Jun 16 23:59:59 2024 GMT,"Cloudflare, Inc.",1,1,2023-06-18 05:43,0,,0,0,-1
https://www.waeschenamen-windrath.de,legitimate,28,2,1,0,30,2,1,1,0,0,0,2,1,R3,Oct 24 21:53:20 2023 GMT,Let's Encrypt,2,2,Hidden,0,-1,0,0,-1
https://vendoprint.se,legitimate,13,2,0,0,17,1,0,1,0,0,0,2,1,GTS CA 1P5,Oct  9 15:13:00 2023 GMT,Google Trust Services LLC,9,1,2022-09-20 00:00,0,-1,0,0,-1
https://www.newbikeland.com,fraudulent,19,3,1,0,22,2,0,1,1,0,0,0,1,E1,Oct 25 08:20:27 2023 GMT,Let's Encrypt,2,1,2023-07-27 09:05,0,,0,0,-1
https://www.hats-storeofficial.com,fraudulent,26,3,1,0,28,2,1,1,1,1,0,0,1,GTS CA 1P5,Sep 13 07:55:33 2023 GMT,Google Trust Services LLC,9,1,2023-06-15 08:46,0,,0,0,-1
https://balaganstudio.com,legitimate,17,3,0,0,21,1,0,1,1,1,0,2,1,R3,Oct 16 21:18:12 2023 GMT,Let's Encrypt,2,0,2015-04-16 00:22,1,3.2,0,0,-1
https://www.bootscleaner.com,legitimate,20,3,1,0,23,2,0,1,1,0,0,2,1,R3,Oct 11 08:36:31 2023 GMT,Let's Encrypt,2,1,2022-09-14 00:00,1,3.7,0,0,-1
https://shop.tovarseasycleaning.com,legitimate,27,3,0,0,30,2,0,1,1,0,0,1,1,R3,Sep 27 01:10:26 2023 GMT,Let's Encrypt,2,0,2020-11-08 20:10,0,-1,0,0,-1
https://camerabebelusului.ro,legitimate,20,2,0,0,24,1,0,0,1,0,0,2,1,R3,Sep  2 18:59:11 2023 GMT,Let's Encrypt,2,0,2012-10-23 00:00,1,4.5,0,0,-1
https://www.kaffee-partner-shop.de,legitimate,26,2,1,0,27,2,2,0,0,0,0,0,1,Sectigo RSA Domain Validation Secure Server CA,Nov 13 23:59:59 2023 GMT,Sectigo Limited,3,2,Hidden,0,-1,0,0,-1
https://www.vitobaldai.lt,legitimate,17,2,1,0,20,2,0,1,0,0,0,1,1,R3,Sep  9 00:20:36 2023 GMT,Let's Encrypt,2,0,2015-04-10 00:00,0,-1,0,0,-1
https://www.mcsport.ie,legitimate,14,2,1,0,17,2,0,1,1,1,0,2,1,R3,Oct 19 22:51:16 2023 GMT,Let's Encrypt,2,0,2002-10-20 00:00,1,4.8,0,0,-1
https://www.family-pills.com,fraudulent,20,3,1,0,22,2,1,1,0,0,1,0,0,GTS CA 1P5,Sep 28 13:22:20 2023 GMT,Google Trust Services LLC,9,0,2015-11-30 13:10,0,,0,0,-1
https://www.ebnblog.com,fraudulent,15,3,1,0,17,2,0,1,0,1,0,0,0,GTS CA 1P5,Sep 22 13:37:30 2023 GMT,Google Trust Services LLC,9,1,2022-10-13 08:04,0,,0,0,-1
https://www.mrmarvis.com,legitimate,16,3,1,0,19,2,0,1,1,0,0,2,1,Cloudflare Inc ECC CA-3,Feb 25 23:59:59 2024 GMT,"Cloudflare, Inc.",1,0,2015-09-14 16:00,1,4.6,0,0,-1
https://www.dirksen-container.com,fraudulent,25,3,1,0,27,2,1,0,0,0,0,2,0,R3,Sep  8 23:30:17 2023 GMT,Let's Encrypt,2,1,2023-02-09 12:50,0,,0,0,-1
https://www.kindermobelre.com,fraudulent,21,3,1,0,24,2,0,1,1,1,0,0,1,GTS CA 1P5,Nov  8 10:16:21 2023 GMT,Google Trust Services LLC,9,1,2022-10-19 02:07,1,2.9,0,0,-1
https://www.hard-wear.com,legitimate,17,3,1,0,19,2,1,1,1,0,0,3,1,Sectigo RSA Domain Validation Secure Server CA,Mar 24 23:59:59 2024 GMT,Sectigo Limited,3,0,2004-10-11 16:40,0,-1,0,0,-1
https://www.kling-rasenmaher.com,fraudulent,24,3,1,0,26,2,1,0,0,0,0,0,1,GTS CA 1P5,Sep 28 13:47:57 2023 GMT,Google Trust Services LLC,9,1,2023-03-24 10:15,0,,0,0,-1
https://apoteknorsk24.com,fraudulent,17,3,0,2,19,1,0,0,0,0,0,0,1,E1,Oct 15 11:31:08 2023 GMT,Let's Encrypt,2,0,2022-06-19 08:45,0,,0,0,-1
https://www.ladders-sale.com,fraudulent,20,3,1,0,22,2,1,1,1,1,0,0,1,E1,Oct  1 08:32:46 2023 GMT,Let's Encrypt,2,1,2023-05-05 07:42,0,,0,0,-1
https://www.vogueon-sale.com,fraudulent,20,3,1,0,22,2,1,1,1,0,0,0,1,GTS CA 1P5,Sep 27 05:27:46 2023 GMT,Google Trust Services LLC,9,1,2023-06-29 06:20,0,,0,0,-1
https://idealica-official.store,fraudulent,23,5,0,0,26,1,1,0,0,0,0,2,1,R3,Oct 26 01:00:49 2023 GMT,Let's Encrypt,2,0,2022-05-30 00:00,0,,0,0,-1
https://www.gearknifeshop.com,fraudulent,21,3,1,0,24,2,0,1,1,0,0,0,0,GTS CA 1P5,Oct 10 05:04:47 2023 GMT,Google Trust Services LLC,9,1,2023-07-12 00:00,0,,0,0,-1
https://dakonda.com/en,legitimate,11,3,0,0,17,1,0,1,1,0,0,2,1,R3,Oct 20 15:16:50 2023 GMT,Let's Encrypt,2,0,2009-01-30 17:19,1,3.6,0,0,-1
https://www.svijet-boca.hr,legitimate,18,2,1,0,20,2,1,1,1,0,0,0,1,GTS CA 1P5,Sep 27 18:55:17 2023 GMT,Google Trust Services LLC,9,1,2022-08-15 22:00,0,-1,0,0,-1
https://nangroupholdings.com,fraudulent,20,3,0,0,24,1,0,0,0,0,0,2,1,R3,Oct  8 16:34:23 2023 GMT,Let's Encrypt,2,1,2023-03-15 00:00,0,,0,0,-1
https://www.fashionclothingde.com,fraudulent,25,3,1,0,28,2,0,1,1,0,0,0,1,E1,Sep 18 01:35:49 2023 GMT,Let's Encrypt,2,1,2023-06-20 02:30,0,,0,0,-1
