text,target
Online shop URL:https://www.allaccessorybest.com; Domain length:24; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:27; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:GTS CA 1P5; SSL certificate expire date:Oct 11 03:53:36 2023 GMT; Domain registration date:2023-05-15 03:35,fraudulent
Online shop URL:https://www.b-watches.shop; Domain length:18; Top domain length:4; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:20; Number  of dots (.):2; Number  of hyphens (-):1; SSL certificate issuer:Cloudflare Inc ECC CA-3; SSL certificate expire date:Jun 16 23:59:59 2024 GMT; Domain registration date:2023-06-18 05:43,fraudulent
Online shop URL:https://www.waeschenamen-windrath.de; Domain length:28; Top domain length:2; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:30; Number  of dots (.):2; Number  of hyphens (-):1; SSL certificate issuer:R3; SSL certificate expire date:Oct 24 21:53:20 2023 GMT; Domain registration date:Hidden,legitimate
Online shop URL:https://vendoprint.se; Domain length:13; Top domain length:2; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:17; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:GTS CA 1P5; SSL certificate expire date:Oct  9 15:13:00 2023 GMT; Domain registration date:2022-09-20 00:00,legitimate
Online shop URL:https://www.newbikeland.com; Domain length:19; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:22; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:E1; SSL certificate expire date:Oct 25 08:20:27 2023 GMT; Domain registration date:2023-07-27 09:05,fraudulent
Online shop URL:https://www.hats-storeofficial.com; Domain length:26; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:28; Number  of dots (.):2; Number  of hyphens (-):1; SSL certificate issuer:GTS CA 1P5; SSL certificate expire date:Sep 13 07:55:33 2023 GMT; Domain registration date:2023-06-15 08:46,fraudulent
Online shop URL:https://balaganstudio.com; Domain length:17; Top domain length:3; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:21; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Oct 16 21:18:12 2023 GMT; Domain registration date:2015-04-16 00:22,legitimate
Online shop URL:https://www.bootscleaner.com; Domain length:20; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:23; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Oct 11 08:36:31 2023 GMT; Domain registration date:2022-09-14 00:00,legitimate
Online shop URL:https://shop.tovarseasycleaning.com; Domain length:27; Top domain length:3; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:30; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Sep 27 01:10:26 2023 GMT; Domain registration date:2020-11-08 20:10,legitimate
Online shop URL:https://camerabebelusului.ro; Domain length:20; Top domain length:2; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:24; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Sep  2 18:59:11 2023 GMT; Domain registration date:2012-10-23 00:00,legitimate
Online shop URL:https://www.kaffee-partner-shop.de; Domain length:26; Top domain length:2; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:27; Number  of dots (.):2; Number  of hyphens (-):2; SSL certificate issuer:Sectigo RSA Domain Validation Secure Server CA; SSL certificate expire date:Nov 13 23:59:59 2023 GMT; Domain registration date:Hidden,legitimate
Online shop URL:https://www.vitobaldai.lt; Domain length:17; Top domain length:2; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:20; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Sep  9 00:20:36 2023 GMT; Domain registration date:2015-04-10 00:00,legitimate
Online shop URL:https://www.mcsport.ie; Domain length:14; Top domain length:2; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:17; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:R3; SSL certificate expire date:Oct 19 22:51:16 2023 GMT; Domain registration date:2002-10-20 00:00,legitimate
Online shop URL:https://www.family-pills.com; Domain length:20; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:22; Number  of dots (.):2; Number  of hyphens (-):1; SSL certificate issuer:GTS CA 1P5; SSL certificate expire date:Sep 28 13:22:20 2023 GMT; Domain registration date:2015-11-30 13:10,fraudulent
Online shop URL:https://www.ebnblog.com; Domain length:15; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:17; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:GTS CA 1P5; SSL certificate expire date:Sep 22 13:37:30 2023 GMT; Domain registration date:2022-10-13 08:04,fraudulent
Online shop URL:https://www.mrmarvis.com; Domain length:16; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:19; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:Cloudflare Inc ECC CA-3; SSL certificate expire date:Feb 25 23:59:59 2024 GMT; Domain registration date:2015-09-14 16:00,legitimate
Online shop URL:https://www.dirksen-container.com; Domain length:25; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:27; Number  of dots (.):2; Number  of hyphens (-):1; SSL certificate issuer:R3; SSL certificate expire date:Sep  8 23:30:17 2023 GMT; Domain registration date:2023-02-09 12:50,fraudulent
Online shop URL:https://www.kindermobelre.com; Domain length:21; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:24; Number  of dots (.):2; Number  of hyphens (-):0; SSL certificate issuer:GTS CA 1P5; SSL certificate expire date:Nov  8 10:16:21 2023 GMT; Domain registration date:2022-10-19 02:07,fraudulent
Online shop URL:https://www.hard-wear.com; Domain length:17; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:19; Number  of dots (.):2; Number  of hyphens (-):1; SSL certificate issuer:Sectigo RSA Domain Validation Secure Server CA; SSL certificate expire date:Mar 24 23:59:59 2024 GMT; Domain registration date:2004-10-11 16:40,legitimate
Online shop URL:https://www.kling-rasenmaher.com; Domain length:24; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:26; Number  of dots (.):2; Number  of hyphens (-):1; SSL certificate issuer:GTS CA 1P5; SSL certificate expire date:Sep 28 13:47:57 2023 GMT; Domain registration date:2023-03-24 10:15,fraudulent
Online shop URL:https://apoteknorsk24.com; Domain length:17; Top domain length:3; Presence of prefix 'www' :no; Number  of digits:2; Number  of letters:19; Number  of dots (.):1; Number  of hyphens (-):0; SSL certificate issuer:E1; SSL certificate expire date:Oct 15 11:31:08 2023 GMT; Domain registration date:2022-06-19 08:45,fraudulent
Online shop URL:https://www.ladders-sale.com; Domain length:20; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:22; Number  of dots (.):2; Number  of hyphens (-):1; SSL certificate issuer:E1; SSL certificate expire date:Oct  1 08:32:46 2023 GMT; Domain registration date:2023-05-05 07:42,fraudulent
Online shop URL:https://www.vogueon-sale.com; Domain length:20; Top domain length:3; Presence of prefix 'www' :yes; Number  of digits:0; Number  of letters:22; Number  of dots (.):2; Number  of hyphens (-):1; SSL certificate issuer:GTS CA 1P5; SSL certificate expire date:Sep 27 05:27:46 2023 GMT; Domain registration date:2023-06-29 06:20,fraudulent
Online shop URL:https://idealica-official.store; Domain length:23; Top domain length:5; Presence of prefix 'www' :no; Number  of digits:0; Number  of letters:26; Number  of dots (.):1; Number  of hyphens (-):1; SSL certificate issuer:R3; SSL certificate expire date:Oct 26 01:00:49 2023 GMT; Domain registration date:2022-05-30 00:00,fraudulent
